emp_no,from_date,to_date,first_name,last_name,title
10228,1998-12-22,9999-01-01,Karoline,Cesareni,Senior Staff
10230,2002-06-16,9999-01-01,Clyde,Vernadat,Senior Staff
10233,2000-04-28,9999-01-01,Lein,Vendrig,Senior Staff
10239,1996-05-04,9999-01-01,Nikolaos,Llado,Staff
10240,1998-10-06,9999-01-01,Remko,Maccarone,Engineer
10248,1997-08-12,9999-01-01,Frederique,Tempesti,Senior Staff
10249,2000-12-07,9999-01-01,Marie,Boreale,Senior Engineer
10258,1997-05-16,9999-01-01,Basil,Ishibashi,Senior Engineer
10262,1996-01-22,9999-01-01,Mahendra,Maraist,Staff
10272,1997-10-23,9999-01-01,Yishai,Cannane,Staff
10281,2000-12-02,9999-01-01,Moty,Kusakari,Senior Engineer
10282,2001-05-02,9999-01-01,Hercules,Benzmuller,Engineer
10283,1995-05-26,9999-01-01,Kauko,Birjandi,Senior Engineer
10284,1999-07-06,9999-01-01,Masali,Murrill,Engineer
10295,2000-06-18,9999-01-01,Kristine,Velardi,Senior Staff
10298,1999-04-27,9999-01-01,Dietrich,DuCasse,Staff
10306,1993-09-06,9999-01-01,Heng,Kilgour,Staff
10307,1999-10-16,9999-01-01,Nikolaos,Leaver,Engineer
10322,1997-01-29,9999-01-01,Isamu,Dahlbom,Senior Engineer
10325,1990-09-20,9999-01-01,Arunachalam,Badr,Senior Staff
10326,1998-09-02,9999-01-01,Masali,Czap,Staff
10328,1998-07-17,9999-01-01,Serenella,Kawashima,Engineer
10333,1998-01-16,9999-01-01,Snehasis,Dymetman,Senior Engineer
10340,1993-03-30,9999-01-01,Djelloul,Laventhal,Senior Staff
10343,1997-10-03,9999-01-01,Dinah,Syrzycki,Senior Engineer
10347,1998-02-20,9999-01-01,Pradeep,Kaminger,Staff
10349,1997-09-27,9999-01-01,Oksana,Brodie,Senior Staff
10353,1989-08-24,9999-01-01,Phule,Hammerschmidt,Senior Staff
10355,1996-01-26,9999-01-01,Satyanarayana,Cochrane,Staff
10356,1995-06-26,9999-01-01,Vasilis,Standera,Senior Staff
10358,1991-02-19,9999-01-01,Qunsheng,Tagansky,Technique Leader
10364,1985-11-14,9999-01-01,Nakhoon,Dengi,Senior Engineer
10367,2000-06-23,9999-01-01,Hyuckchul,Gini,Senior Staff
10372,1985-07-30,9999-01-01,Anneli,Frijda,Technique Leader
10377,1996-08-24,9999-01-01,Marl,Grospietsch,Senior Engineer
10387,1999-01-07,9999-01-01,Parto,Wrigley,Senior Staff
10388,1999-05-28,9999-01-01,Hironoby,Kaiser,Staff
10389,1999-05-13,9999-01-01,Make,Peir,Technique Leader
10396,1986-01-11,9999-01-01,Sibyl,Rahier,Senior Engineer
10397,1993-05-21,9999-01-01,Irena,Reutenauer,Technique Leader
10402,1987-01-02,9999-01-01,Volkmar,Ebeling,Technique Leader
10404,1996-08-28,9999-01-01,Prodip,Rosti,Senior Engineer
10407,1999-10-30,9999-01-01,Ulf,Siepmann,Senior Staff
10413,1997-12-26,9999-01-01,Danel,Impagliazzo,Senior Staff
10418,1996-10-04,9999-01-01,Candida,Porotnikoff,Staff
10422,1995-01-03,9999-01-01,Greger,Rubsam,Engineer
10426,1985-07-06,9999-01-01,Arunas,Luce,Technique Leader
10429,1988-09-23,9999-01-01,Martien,Improta,Senior Engineer
10432,1996-08-12,9999-01-01,Hisao,Tiemann,Senior Staff
10433,1999-11-27,9999-01-01,Reuven,Dengi,Engineer
10451,1998-03-12,9999-01-01,Bodh,Ranta,Senior Engineer
10453,1993-04-02,9999-01-01,Tsvetan,Matzel,Senior Staff
10463,1994-02-17,9999-01-01,Ung,Zaiane,Staff
10477,2002-05-26,9999-01-01,Guoxiang,Trogemann,Senior Engineer
10486,1996-10-07,9999-01-01,Amstein,Kossowski,Senior Engineer
10494,2000-12-17,9999-01-01,Yakkov,Servieres,Senior Engineer
10497,1999-01-22,9999-01-01,Pramod,Rabehasaina,Senior Engineer
10499,2001-07-31,9999-01-01,Maik,Luft,Senior Staff
10503,1997-03-13,9999-01-01,Dannz,Pell,Engineer
10504,1999-10-19,9999-01-01,Xiong,Varker,Staff
10509,1997-10-06,9999-01-01,Abdelwaheb,Riesenhuber,Senior Staff
10512,1998-11-28,9999-01-01,Udi,Gihr,Senior Staff
10517,1990-12-25,9999-01-01,Tiina,Speek,Senior Staff
10522,1995-12-12,9999-01-01,Marke,Cesareni,Senior Staff
10529,1997-07-04,9999-01-01,Ymte,Yetto,Assistant Engineer
10531,1995-03-16,9999-01-01,Oguz,Gimbel,Staff
10542,1992-02-07,9999-01-01,Yannis,Couchot,Senior Engineer
10548,1993-07-04,9999-01-01,Ramalingam,Gunderson,Senior Staff
10552,1998-08-31,9999-01-01,Kazuhito,Shiratori,Senior Engineer
10564,2000-11-22,9999-01-01,Jianhao,Thisen,Senior Engineer
10568,1995-07-08,9999-01-01,Gao,Poulakidas,Staff
10586,2000-02-04,9999-01-01,Kirk,Vuskovic,Senior Engineer
10593,1999-09-12,9999-01-01,Falguni,Kenevan,Senior Engineer
10596,2001-05-23,9999-01-01,Sanjit,Coors,Senior Staff
10603,1995-07-20,9999-01-01,Wayne,Restivo,Staff
10610,1997-03-30,9999-01-01,Irena,Roccetti,Engineer
10614,1998-03-03,9999-01-01,Gila,Ozeri,Senior Engineer
10615,2002-03-10,9999-01-01,Keung,Delgrande,Senior Staff
10623,1999-01-15,9999-01-01,Aleksander,Danlos,Senior Engineer
10624,1990-05-07,9999-01-01,Sham,Gyorkos,Technique Leader
10628,2001-03-14,9999-01-01,Krisda,Krogh,Senior Engineer
10630,1997-01-13,9999-01-01,Bezalel,Katzenelson,Engineer
10631,1994-10-18,9999-01-01,Inderjeet,Chaudhuri,Engineer
10634,2000-11-10,9999-01-01,Nahid,Chepyzhov,Senior Engineer
10636,1996-09-25,9999-01-01,Saeko,Porotnikoff,Staff
10639,1999-10-26,9999-01-01,Pramod,Erol,Senior Engineer
10641,1999-03-21,9999-01-01,Guozhong,Zucker,Engineer
10642,1998-10-05,9999-01-01,Hirochika,Narlikar,Engineer
10653,1987-04-30,9999-01-01,Otmar,Feinberg,Senior Engineer
10667,1999-07-28,9999-01-01,Makato,Cusworth,Senior Staff
10671,2001-09-13,9999-01-01,Parviz,Rebaine,Senior Staff
10676,1999-09-04,9999-01-01,Valeri,Danley,Engineer
10683,1997-06-23,9999-01-01,Guiseppe,Stranks,Senior Engineer
10693,1991-01-08,9999-01-01,Berhard,Daescu,Senior Staff
10696,1991-09-09,9999-01-01,Unal,Fendler,Technique Leader
10702,1991-01-14,9999-01-01,Bader,Szemeredi,Senior Engineer
10712,2001-08-18,9999-01-01,Uma,Koprowski,Senior Engineer
10718,1997-07-21,9999-01-01,Adib,Rullman,Senior Engineer
10726,2001-02-24,9999-01-01,Zita,Minakawa,Senior Engineer
10734,1995-12-19,9999-01-01,Sachar,Erdi,Engineer
10741,1997-01-06,9999-01-01,Sven,Huttel,Senior Staff
10742,1997-04-03,9999-01-01,Shim,Wiegley,Technique Leader
10745,1997-01-22,9999-01-01,Poorav,Ranze,Senior Engineer
10749,1990-09-26,9999-01-01,King,Brendel,Senior Engineer
10750,1998-11-06,9999-01-01,Roddy,Demeyer,Technique Leader
10764,1998-11-27,9999-01-01,Yunming,Beetstra,Senior Engineer
10767,1997-07-15,9999-01-01,Monique,Doering,Staff
10768,1990-07-04,9999-01-01,Ishfaq,Candan,Senior Engineer
10778,1986-07-04,9999-01-01,Selwyn,Merey,Senior Staff
10791,1995-07-31,9999-01-01,Tadahiko,Sgarro,Senior Engineer
10795,1999-05-03,9999-01-01,Supot,Naudin,Senior Staff
10808,1987-03-07,9999-01-01,Chenxi,Leijenhorst,Senior Engineer
10811,1997-07-08,9999-01-01,Ashish,Fortenbacher,Engineer
10813,1990-04-27,9999-01-01,Shalesh,Shumilov,Senior Staff
10814,1998-07-17,9999-01-01,Nidapan,Dymetman,Senior Staff
10826,1993-01-22,9999-01-01,Arnd,Anandan,Senior Engineer
10827,1996-11-07,9999-01-01,Willard,Danley,Staff
10830,1997-08-23,9999-01-01,Fen,Fiebach,Senior Staff
10831,1998-02-22,9999-01-01,Toong,Driscoll,Technique Leader
10833,1998-12-23,9999-01-01,Krisda,Gecseg,Technique Leader
10834,1999-11-24,9999-01-01,Huiqun,Rajcani,Engineer
10835,1995-08-22,9999-01-01,Tomoyuki,Kermarrec,Engineer
10836,1987-08-10,9999-01-01,Jianhua,Leivant,Senior Staff
10844,1997-04-25,9999-01-01,Dipayan,Koprowski,Engineer
10846,1995-01-17,9999-01-01,Tokuyasu,Serre,Senior Engineer
10847,1992-07-24,9999-01-01,Theirry,Danley,Senior Staff
10848,1992-04-20,9999-01-01,Fen,Bratsberg,Senior Engineer
10849,2001-06-24,9999-01-01,Makato,Mayerwieser,Engineer
10854,1998-07-13,9999-01-01,Jagoda,Nannarelli,Engineer
10858,2002-01-01,9999-01-01,Kenroku,Gonthier,Senior Engineer
10871,1999-06-16,9999-01-01,Aram,Gilg,Staff
10872,1996-09-05,9999-01-01,Karoline,Speel,Senior Staff
10873,1994-03-23,9999-01-01,Sukumar,Wegerle,Staff
10878,1997-04-25,9999-01-01,Lakshmi,Deville,Staff
10879,1985-08-15,9999-01-01,Muzhong,Chleq,Senior Engineer
10882,1999-04-29,9999-01-01,Fun,Heuser,Engineer
10883,1996-12-28,9999-01-01,Shimshon,Champarnaud,Engineer
10885,1991-08-19,9999-01-01,Rayond,Cronau,Senior Staff
10887,1989-03-17,9999-01-01,Lunjin,DeMori,Senior Engineer
10900,1995-09-07,9999-01-01,Ferdinand,Prenel,Senior Engineer
10906,1998-10-18,9999-01-01,Munehiro,Carrere,Staff
10909,2000-12-26,9999-01-01,Georgi,Atchley,Senior Engineer
10913,1998-10-25,9999-01-01,Narain,Thummel,Staff
10920,1998-02-23,9999-01-01,Ronghao,Narahara,Senior Staff
10921,1995-07-27,9999-01-01,Mara,Bahi,Senior Engineer
10924,1997-08-14,9999-01-01,Hironoby,Atchley,Senior Staff
10926,1995-04-30,9999-01-01,Leni,Eppinger,Senior Engineer
10927,1993-09-12,9999-01-01,Gal,Scallan,Senior Staff
10930,1998-11-22,9999-01-01,Arch,Minakawa,Senior Engineer
10932,1999-09-09,9999-01-01,Avishai,Picci,Senior Engineer
10936,1996-05-08,9999-01-01,Mountaz,Schicker,Senior Staff
10942,1996-01-21,9999-01-01,Toshimitsu,Larfeldt,Engineer
10943,1999-05-22,9999-01-01,Berna,Skafidas,Senior Engineer
10944,1995-09-07,9999-01-01,Remko,Zyda,Senior Engineer
10947,2001-11-15,9999-01-01,Gor,Usery,Senior Staff
10949,1996-06-28,9999-01-01,Shigeichiro,Wroclawski,Senior Staff
10956,1995-12-02,9999-01-01,Arno,Picel,Engineer
10965,1986-07-29,9999-01-01,Eckart,Braunschweig,Senior Staff
10969,1994-05-12,9999-01-01,Premal,Noriega,Senior Engineer
10974,1999-05-17,9999-01-01,Muneo,Papsdorf,Senior Engineer
10986,1985-10-11,9999-01-01,Masako,Schiper,Technique Leader
10987,1997-05-21,9999-01-01,Flemming,Baezner,Engineer
10988,1985-06-19,9999-01-01,Chinya,Deyuan,Senior Engineer
10989,1991-07-20,9999-01-01,Sumali,Candan,Senior Staff
10990,1990-08-06,9999-01-01,Shin,Foote,Technique Leader
10996,1996-02-07,9999-01-01,Matk,Rahimi,Senior Staff
11004,1998-01-18,9999-01-01,JoAnna,Decleir,Senior Engineer
11009,1993-09-09,9999-01-01,Alper,Axelband,Senior Staff
11012,1996-07-06,9999-01-01,Taegyun,Speckmann,Staff
11019,1997-05-24,9999-01-01,Leon,Huttel,Senior Engineer
11021,1998-02-02,9999-01-01,Srinidhi,Henders,Staff
11027,1996-05-06,9999-01-01,Remzi,Cappello,Senior Engineer
11031,1993-10-24,9999-01-01,Ottavia,Walstra,Senior Staff
11032,1994-06-06,9999-01-01,Erez,Schaaf,Staff
11037,1995-01-28,9999-01-01,Lansing,Maliniak,Senior Engineer
11038,1992-07-15,9999-01-01,Jinya,Beidas,Senior Staff
11042,2000-06-21,9999-01-01,Gou,Breugel,Senior Engineer
11048,1999-05-27,9999-01-01,Jaques,Demke,Senior Staff
11050,1991-05-06,9999-01-01,Elvis,Katiyar,Senior Staff
11051,2000-03-26,9999-01-01,Przemyslawa,Erol,Senior Engineer
11056,1997-07-01,9999-01-01,Palash,Speel,Staff
11061,2002-02-19,9999-01-01,Pintsang,Erni,Senior Staff
11064,2002-02-27,9999-01-01,Shawna,Vieri,Senior Engineer
11066,1996-04-30,9999-01-01,Shaz,Langford,Senior Staff
11070,1991-07-24,9999-01-01,Adib,Raney,Senior Engineer
11071,2001-05-23,9999-01-01,Kwan,Sigstam,Senior Engineer
11075,1998-05-06,9999-01-01,Karsten,Belinskaya,Senior Engineer
11079,2001-05-26,9999-01-01,Piyush,Garigliano,Senior Engineer
11081,1994-06-17,9999-01-01,Barry,Boyle,Senior Staff
11083,2000-10-04,9999-01-01,Shimshon,Ducloy,Senior Staff
11084,1999-05-31,9999-01-01,Greger,Senzako,Senior Engineer
11085,1996-02-10,9999-01-01,Hailing,Thummel,Senior Engineer
11087,1998-03-18,9999-01-01,Changho,Jayawardene,Senior Engineer
11089,1994-08-13,9999-01-01,Conal,Henders,Senior Staff
11091,1999-09-11,9999-01-01,Souichi,Ramsay,Engineer
11092,1999-04-05,9999-01-01,Narain,Stamatiou,Staff
11098,1997-01-08,9999-01-01,Arnd,Covnot,Engineer
11100,1993-10-13,9999-01-01,Berna,Cochrane,Senior Staff
11106,1997-08-30,9999-01-01,Aris,Iwayama,Senior Engineer
11111,1994-12-25,9999-01-01,Udi,Zastre,Assistant Engineer
11112,1995-04-28,9999-01-01,Boaz,Mukaidono,Staff
11113,1991-11-30,9999-01-01,Shahab,Peng,Senior Staff
11121,1999-11-01,9999-01-01,Vugranam,Kakkad,Senior Engineer
11130,1997-02-17,9999-01-01,Xinyu,Menhoudj,Senior Staff
11132,1999-08-30,9999-01-01,Kristin,Harnett,Senior Engineer
11133,1994-03-06,9999-01-01,Nalini,Azulay,Technique Leader
11134,2002-05-19,9999-01-01,Sachar,Rajcani,Senior Engineer
11137,1995-03-16,9999-01-01,Hugh,Luca,Engineer
11139,1995-05-11,9999-01-01,Bogdan,Homond,Senior Staff
11143,1996-05-09,9999-01-01,Yongdong,Rosen,Engineer
11144,2002-07-19,9999-01-01,Carrsten,Heinisuo,Senior Staff
11146,1997-08-21,9999-01-01,Ishfaq,Masand,Senior Staff
11147,1997-12-04,9999-01-01,Ayonca,Nitsch,Engineer
11148,1997-02-08,9999-01-01,Zhanqiu,Botman,Senior Staff
11158,2002-04-20,9999-01-01,Masaki,Hagimont,Senior Engineer
11162,1990-03-28,9999-01-01,Kauko,Narlikar,Senior Engineer
11168,2001-07-15,9999-01-01,Shmuel,Tetzlaff,Senior Staff
11170,1990-06-20,9999-01-01,Minghong,Cannard,Senior Engineer
11174,1999-06-07,9999-01-01,Akhilish,Milicia,Engineer
11177,1999-09-11,9999-01-01,Chrisa,dAstous,Senior Engineer
11180,1992-06-10,9999-01-01,Mitsuyuki,Bojadziev,Senior Engineer
11181,1997-11-03,9999-01-01,Hausi,Cullers,Engineer
11185,2000-01-26,9999-01-01,Aloys,Baezner,Senior Staff
11186,2000-12-09,9999-01-01,Kshitij,Stasinski,Senior Engineer
11189,1991-09-07,9999-01-01,Dante,Bodoff,Senior Staff
11192,1998-04-07,9999-01-01,Apostol,Bahr,Engineer
11197,1989-09-12,9999-01-01,Tadahiro,Fordan,Senior Staff
11201,1995-10-31,9999-01-01,Jouko,Masaki,Staff
11204,1985-09-18,9999-01-01,Diederik,Covnot,Technique Leader
11207,1999-01-31,9999-01-01,Saeed,Gips,Engineer
11208,1994-11-17,9999-01-01,Saniya,Valtorta,Technique Leader
11211,1985-09-17,9999-01-01,Yurij,Rissland,Senior Engineer
11213,1999-02-04,9999-01-01,Vugranam,Munoz,Technique Leader
11217,1990-03-11,9999-01-01,Kellie,Mawatari,Senior Engineer
11229,2000-07-25,9999-01-01,Gretta,Ramamoorthy,Senior Engineer
11232,2000-08-01,9999-01-01,Hidefumi,Crelier,Senior Staff
11233,1998-12-14,9999-01-01,Sanjit,Waschkowski,Senior Engineer
11240,1997-01-06,9999-01-01,Kiam,Condotta,Engineer
11243,2000-01-20,9999-01-01,Udi,Desikan,Assistant Engineer
11249,1994-09-22,9999-01-01,Randi,Cyre,Engineer
11251,1993-06-15,9999-01-01,Bezalel,Chinal,Senior Staff
11253,2000-05-22,9999-01-01,Koldo,Pokrovskii,Senior Engineer
11254,1998-12-19,9999-01-01,Danel,Rindone,Staff
11258,1998-03-28,9999-01-01,Aris,Maccarone,Senior Staff
11266,2002-05-12,9999-01-01,Florina,Rohrbach,Senior Engineer
11267,1996-04-09,9999-01-01,Shaunak,Zaumen,Senior Engineer
11268,1995-10-25,9999-01-01,Aimee,Petersohn,Senior Engineer
11274,1999-12-13,9999-01-01,Masanao,Nicolson,Staff
11275,1998-04-25,9999-01-01,Hitomi,Eppinger,Senior Engineer
11289,1996-02-23,9999-01-01,Chuanti,Cherinka,Senior Engineer
11290,1999-05-13,9999-01-01,Visit,Dredge,Engineer
11292,1996-02-12,9999-01-01,Souichi,Sichman,Senior Engineer
11294,1999-06-13,9999-01-01,Tru,Segond,Senior Engineer
11295,1990-05-15,9999-01-01,Abdelkader,Lanzelotte,Senior Staff
11296,1994-09-26,9999-01-01,Hironobu,Kenevan,Senior Engineer
11301,1996-05-23,9999-01-01,Mingzeng,Oxenboll,Senior Staff
11317,2000-09-07,9999-01-01,Shigeaki,Hagimont,Senior Staff
11319,1998-11-01,9999-01-01,Pranas,Marrakchi,Assistant Engineer
11320,1998-04-06,9999-01-01,Atilio,McAlpine,Senior Staff
11322,1999-07-08,9999-01-01,Nathalie,Pocchiola,Senior Engineer
11324,1985-08-29,9999-01-01,Kauko,Billingsley,Senior Engineer
11325,1999-01-10,9999-01-01,Samphel,Rossi,Engineer
11326,1999-02-19,9999-01-01,Munenori,Plesums,Senior Engineer
11338,1998-10-28,9999-01-01,Kwangsub,Hanratty,Senior Staff
11339,1989-12-19,9999-01-01,Flemming,Massonet,Senior Engineer
11340,1998-09-11,9999-01-01,Aris,Bala,Senior Engineer
11343,1995-02-27,9999-01-01,Susanne,Erez,Senior Engineer
11347,1992-04-19,9999-01-01,Anneli,Jonsson,Senior Engineer
11349,1999-06-28,9999-01-01,Yurii,Hammerschmidt,Engineer
11360,1997-01-12,9999-01-01,Fen,Schach,Senior Staff
11365,1997-12-18,9999-01-01,Toshimi,Shinomoto,Engineer
11373,2000-07-18,9999-01-01,Yongmao,Keohane,Senior Staff
11376,1994-03-14,9999-01-01,Valery,Suomi,Senior Staff
11380,2001-04-18,9999-01-01,Kenroku,Pelc,Senior Engineer
11385,1999-08-08,9999-01-01,Shiv,Ullian,Engineer
11386,1993-11-29,9999-01-01,Alselm,Assaf,Senior Engineer
11393,1992-04-30,9999-01-01,Junsik,Junot,Senior Engineer
11396,1997-02-04,9999-01-01,Anneke,Servieres,Engineer
11398,2001-09-07,9999-01-01,Oscar,Peir,Senior Staff
11401,1995-04-15,9999-01-01,Huan,Merey,Staff
11404,1990-09-25,9999-01-01,Bedrich,Borovoy,Technique Leader
11406,1996-03-13,9999-01-01,Eberhardt,Gini,Senior Staff
11410,1999-10-25,9999-01-01,Gro,Vendrig,Engineer
11415,1996-12-07,9999-01-01,Sanjiv,Anido,Engineer
11417,1992-12-21,9999-01-01,Anneli,Cyne,Technique Leader
11418,1991-12-30,9999-01-01,Satosi,Cooley,Senior Staff
11420,1992-01-31,9999-01-01,Tsutomu,Lalonde,Senior Staff
11421,1995-09-02,9999-01-01,Josyula,Msuda,Senior Engineer
11423,1998-10-13,9999-01-01,Guangming,Kopetz,Staff
11425,1990-08-27,9999-01-01,Renee,Crelier,Senior Engineer
11441,1987-03-27,9999-01-01,Marlo,Aingworth,Senior Staff
11446,1999-04-06,9999-01-01,Naftali,Narahara,Senior Engineer
11449,2000-02-03,9999-01-01,Kotesh,Asser,Senior Engineer
11451,1990-05-20,9999-01-01,Eben,Rajaraman,Senior Engineer
11452,2001-08-26,9999-01-01,Shigehito,Luby,Senior Staff
11459,1992-05-02,9999-01-01,Duke,Suomi,Senior Staff
11460,2001-05-28,9999-01-01,Mana,Maraist,Senior Engineer
11469,1999-09-08,9999-01-01,Guttorm,Giaccio,Senior Engineer
11474,1993-12-29,9999-01-01,Gennady,Akazan,Engineer
11476,1994-01-15,9999-01-01,Manton,Yoshizawa,Staff
11479,1999-02-10,9999-01-01,Shridhar,Pleszkun,Staff
11503,2002-04-09,9999-01-01,Nathan,Picht,Senior Engineer
11506,1996-04-08,9999-01-01,Rance,Picel,Staff
11509,1992-11-11,9999-01-01,Aleksander,Feldhoffer,Senior Engineer
11513,1998-08-25,9999-01-01,Otmar,Mahnke,Senior Staff
11515,1998-09-21,9999-01-01,Ulf,Basawa,Staff
11518,1999-09-22,9999-01-01,Jinxi,Oxman,Senior Staff
11519,1997-06-12,9999-01-01,Halsur,Chinen,Senior Staff
11523,1998-12-23,9999-01-01,Yuguang,Pezzoli,Engineer
11524,1996-07-05,9999-01-01,Xiadong,Standera,Senior Engineer
11527,1999-01-28,9999-01-01,Alagu,Boyle,Staff
11528,1987-06-15,9999-01-01,Zito,Dolinsky,Technique Leader
11531,1992-11-04,9999-01-01,Radhika,Motley,Technique Leader
11533,1991-08-20,9999-01-01,Vitaly,Lorch,Technique Leader
11537,1986-07-06,9999-01-01,DAIDA,Pehl,Senior Staff
11540,2002-07-02,9999-01-01,Chanjung,Portugali,Senior Engineer
11554,1998-07-15,9999-01-01,Subhash,Taubenfeld,Staff
11555,1991-10-14,9999-01-01,Kotesh,Perfilyeva,Senior Staff
11567,1996-02-03,9999-01-01,Teiji,Mitzlaff,Senior Staff
11568,2000-03-13,9999-01-01,Martins,Fujisaki,Senior Engineer
11573,1995-02-04,9999-01-01,Pranas,Hutton,Senior Engineer
11575,2000-05-31,9999-01-01,Godehard,Plotkin,Engineer
11577,1998-09-23,9999-01-01,Mayumi,Deyuan,Senior Engineer
11581,2001-11-13,9999-01-01,Patricio,Rosenbaum,Senior Engineer
11587,1989-04-24,9999-01-01,Shem,Zambonelli,Senior Engineer
11589,2001-05-06,9999-01-01,Gina,Plessier,Senior Engineer
11595,1992-09-08,9999-01-01,Takanari,Kamber,Senior Staff
11596,1995-11-23,9999-01-01,Yannik,Gunderson,Staff
11602,2001-06-21,9999-01-01,Somnath,Malabarba,Senior Staff
11603,1994-04-13,9999-01-01,Herb,Swen,Senior Staff
11606,1999-09-27,9999-01-01,Perry,Pepe,Senior Staff
11607,1995-04-19,9999-01-01,Tomokazu,Foong,Engineer
11615,2000-08-28,9999-01-01,Shem,Isaak,Senior Staff
11616,1998-12-30,9999-01-01,Zhilian,Brendel,Engineer
11624,1996-07-15,9999-01-01,Adil,Gammage,Senior Engineer
11628,1997-10-23,9999-01-01,Fan,Malinowski,Senior Engineer
11640,1988-09-26,9999-01-01,Valeri,Coorg,Senior Engineer
11641,1991-06-18,9999-01-01,Chikako,Rothenberg,Senior Engineer
11644,1995-08-09,9999-01-01,Sanjit,Zaiane,Assistant Engineer
11646,1999-12-15,9999-01-01,Lobel,Rubsam,Engineer
11647,1993-05-11,9999-01-01,Magy,Nitsche,Senior Engineer
11649,1992-12-11,9999-01-01,Shen,Bernardinello,Technique Leader
11660,1994-11-22,9999-01-01,Gill,Stenning,Senior Staff
11664,1990-09-07,9999-01-01,Oksana,Brizzi,Senior Staff
11667,1996-09-07,9999-01-01,Kristian,Marchegay,Senior Staff
11673,1989-06-10,9999-01-01,Henk,Felder,Technique Leader
11676,1998-07-15,9999-01-01,Valeri,Ferriere,Engineer
11681,1995-08-28,9999-01-01,Fumitake,Benzmuller,Senior Engineer
